FLOCK_TRANSACTION_ID,FLOCK_ID,TRANSACTION_TYPE,QUANTITY,TRANSACTION_DATE,NOTES,CREATED_AT
02340d6b-385e-9d36-53ec-63d363827592,a5336e83-ebc9-d083-4b2f-d3fba64108e7,Removal,1572,2024-10-18,,2026-09-10 10:37:54.226764
be7efe93-c6a7-c53b-9d60-3e1f9767dbf1,a5336e83-ebc9-d083-4b2f-d3fba64108e7,Count,1781,2025-07-14,Partial removal,2026-09-10 10:37:54.226764
b91fc0b0-1514-46de-fc1d-ab663e22ac07,a5336e83-ebc9-d083-4b2f-d3fba64108e7,Delivery,1390,2025-01-17,Routine,2026-09-10 10:37:54.226764
04ffb262-39b5-2e50-61b0-61b843d7610c,d4a7163b-faa2-ac82-d733-291edba947cb,Count,247,2026-08-13,,2026-09-10 10:37:54.226764
9d2c2b23-0c7f-b4e2-7d2c-3b23d7df6fc2,d4a7163b-faa2-ac82-d733-291edba947cb,Removal,726,2026-06-24,Partial removal,2026-09-10 10:37:54.226764
de8dd099-45b6-afe3-4582-cfc143cd86b3,d4a7163b-faa2-ac82-d733-291edba947cb,Sale,1887,2026-05-14,,2026-09-10 10:37:54.226764
f4df7fcb-773d-3477-c171-5a78d9400586,d4a7163b-faa2-ac82-d733-291edba947cb,Count,1896,2026-09-02,Partial removal,2026-09-10 10:37:54.226764
69a35c21-bd83-1760-b1de-61a6274d58b1,d4a7163b-faa2-ac82-d733-291edba947cb,Sale,413,2026-03-21,Partial removal,2026-09-10 10:37:54.226764
713c1476-b5eb-b793-8633-f7307fe5281c,4cc4e40a-7dbb-32c5-48bd-4f5f10befe33,Delivery,799,2025-04-17,Routine,2026-09-10 10:37:54.226764
f2d39ad9-92d5-ec91-4b31-00ffb8c1d2bf,4cc4e40a-7dbb-32c5-48bd-4f5f10befe33,Delivery,1166,2025-08-27,,2026-09-10 10:37:54.226764
191a2360-6c0b-ae93-49b4-3c649f739881,4cc4e40a-7dbb-32c5-48bd-4f5f10befe33,Delivery,1648,2025-05-19,Weekly count,2026-09-10 10:37:54.226764
1a036ecd-d5ba-0f47-48d6-c303474c0d1b,4cc4e40a-7dbb-32c5-48bd-4f5f10befe33,Sale,805,2026-04-15,,2026-09-10 10:37:54.226764
b2916e5e-7240-b7f8-9fcd-a040f03efbc6,4cc4e40a-7dbb-32c5-48bd-4f5f10befe33,Sale,1314,2025-12-12,Weekly count,2026-09-10 10:37:54.226764
1ed68390-4770-f66f-1847-6f647ea218c6,158fea2b-7187-4113-e976-6981585f0b27,Count,659,2026-02-13,,2026-09-10 10:37:54.226764
88596494-deb8-6465-05a9-5116e38103a7,811f16c8-12b0-ca82-7cdb-6b4f8f5fda65,Removal,1984,2025-04-05,,2026-09-10 10:37:54.226764
fcd54710-755c-8732-6b49-4355d332570b,211d941d-9b98-fcfa-363d-1000b27bebf3,Count,1386,2025-09-22,,2026-09-10 10:37:54.226764
dadc7940-c9e0-9f88-772e-1dd1e451f49b,211d941d-9b98-fcfa-363d-1000b27bebf3,Removal,1478,2025-05-30,,2026-09-10 10:37:54.226764
e057bc06-20e6-cc6d-bfd4-cb8dfe0cb00f,211d941d-9b98-fcfa-363d-1000b27bebf3,Delivery,962,2025-12-21,Routine,2026-09-10 10:37:54.226764
1b5609a1-4622-3085-dd3e-6bcf5a5f80c8,211d941d-9b98-fcfa-363d-1000b27bebf3,Delivery,1652,2025-12-16,Routine,2026-09-10 10:37:54.226764
72b9b9ab-f750-d782-a720-67da55729f29,211d941d-9b98-fcfa-363d-1000b27bebf3,Delivery,433,2025-06-28,Partial removal,2026-09-10 10:37:54.226764
fafb99f8-cb5c-1b40-bca4-80dd2152f2ba,4ee18854-e188-6671-a365-10bc0d1899ab,Removal,1452,2026-09-14,Routine,2026-09-10 10:37:54.226764
048681bd-f963-6884-841d-1d3cab728fef,d38713cf-60bb-269d-e333-d9dd45e58674,Sale,1081,2026-08-16,Routine,2026-09-10 10:37:54.226764
e84a7e14-16ec-992a-c706-650542cb57c9,d38713cf-60bb-269d-e333-d9dd45e58674,Sale,486,2027-08-03,Partial removal,2026-09-10 10:37:54.226764
df5ab5a8-af87-9cd3-3a13-be907521053a,d38713cf-60bb-269d-e333-d9dd45e58674,Delivery,506,2027-05-26,,2026-09-10 10:37:54.226764
deefd570-a287-0104-7fce-b3ce2a5baacd,7aecec81-2c07-4a42-f2a5-5c0ca8f399f8,Delivery,1613,2026-08-16,Partial removal,2026-09-10 10:37:54.226764
f03f370f-0121-92be-431e-a8ba619f7b2f,7aecec81-2c07-4a42-f2a5-5c0ca8f399f8,Sale,1353,2026-04-20,Weekly count,2026-09-10 10:37:54.226764
f26b6715-bdbd-2de6-f30c-3c65ef7cf257,7aecec81-2c07-4a42-f2a5-5c0ca8f399f8,Sale,500,2026-10-14,,2026-09-10 10:37:54.226764
309bb841-9c90-cf10-d342-813fb3657522,7aecec81-2c07-4a42-f2a5-5c0ca8f399f8,Sale,771,2027-04-08,Weekly count,2026-09-10 10:37:54.226764
ef44c94d-c4cb-00d2-5969-5f77f1f979dd,7525df8d-7b02-5c66-60bf-7ed5fe8b105f,Count,576,2026-04-17,Routine,2026-09-10 10:37:54.226764
48f1bd03-75f8-c8fd-2167-f3ff8a780e98,04fa314f-4d3d-65a0-8981-7872cd715c69,Count,1263,2025-09-04,Weekly count,2026-09-10 10:37:54.226764
d844d10a-ae54-66df-010b-67083da6270d,04fa314f-4d3d-65a0-8981-7872cd715c69,Delivery,187,2024-11-25,,2026-09-10 10:37:54.226764
61a7f6c5-c553-f51d-bea2-715ba412dfa6,04fa314f-4d3d-65a0-8981-7872cd715c69,Delivery,1367,2025-04-29,Routine,2026-09-10 10:37:54.226764
8f149b77-c995-eb5c-d894-0dcccb8479da,04fa314f-4d3d-65a0-8981-7872cd715c69,Sale,1714,2025-03-25,Partial removal,2026-09-10 10:37:54.226764
8277d431-2fe4-02e5-5678-99fc2ad48363,04fa314f-4d3d-65a0-8981-7872cd715c69,Count,1856,2024-11-30,Partial removal,2026-09-10 10:37:54.226764
0c231ce0-e75e-9025-e4e8-c11076bd0c1a,97675669-92a4-f344-0165-f5ddf27efe1f,Removal,1577,2025-10-15,,2026-09-10 10:37:54.226764
8bd796fc-9805-94b9-5a7a-8ac8e598575c,97675669-92a4-f344-0165-f5ddf27efe1f,Sale,467,2025-10-23,Weekly count,2026-09-10 10:37:54.226764
573e5624-36dc-f8fc-e7fd-e2f3eb3dee33,97675669-92a4-f344-0165-f5ddf27efe1f,Count,1605,2026-10-05,,2026-09-10 10:37:54.226764
38f6de85-889d-1b2a-2673-1ae50d01d28c,97675669-92a4-f344-0165-f5ddf27efe1f,Removal,893,2026-09-12,,2026-09-10 10:37:54.226764
5d2ee203-ac9b-473c-3ed0-c53fb050282d,7a2d3dec-ab9a-6dca-cc2c-2cdd0f47529b,Count,417,2025-10-21,Partial removal,2026-09-10 10:37:54.226764
