PRODUCTION_ID,IMPORT_ID,FLOCK_ID,GRADER_NUMBER,BARN_IDENTITY,FLOCK_AGE,EGG_COLOUR,NET_WEIGHT,NET_BOXES,NET_PER_BOX,TOTAL_RECEIVED,REJECTED,LOSS,LEGACY_REJECT_LOSS_TOTAL,TOTAL_ACCEPTED,REPORTING_YEAR,REPORTING_WEEK,CREATED_AT
ffd2bc07-efc6-27dd-837e-a8d48b3e35f3,,4cc4e40a-7dbb-32c5-48bd-4f5f10befe33,G-130,Barn-B3,60,Brown,1406.43,167.11,8.42,167.11,,,2.28,164.83,2026,28,2026-09-10 10:37:54.228745
59f8443f-dcc1-5550-26f9-af58ffb8073f,,6dec7c86-6cb1-3e94-399b-8bf85d1956a7,G-117,Barn-H5,71,Brown,3052.65,197.73,15.44,197.73,3.82,0.46,,193.45,2026,21,2026-09-10 10:37:54.228745
73d66051-96df-5166-1737-d51d7a4c7e37,,97675669-92a4-f344-0165-f5ddf27efe1f,G-125,Barn-G1,71,Mostly Brown,2401.58,206.86,11.61,206.86,0.99,0.15,,205.72,2026,35,2026-09-10 10:37:54.228745
d24f83f6-f5d6-6395-6bd8-944a81c3990f,,4cc4e40a-7dbb-32c5-48bd-4f5f10befe33,G-120,Barn-H2,46,Brown,2618.1,65.19,40.16,65.19,3.2,1.43,,60.56,2026,8,2026-09-10 10:37:54.228745
55c7767b-b109-edd9-7e7b-4c0481649c68,,a5336e83-ebc9-d083-4b2f-d3fba64108e7,G-118,Barn-G3,43,Mostly White,1953.08,193.41,10.1,193.41,0.8,0.88,,191.73,2026,38,2026-09-10 10:37:54.228745
c2e5c5ae-3e2a-02b9-c82e-fe348290cafa,,5c66c458-1c8c-857b-678f-5a8532f4bdb0,G-122,Barn-H4,43,Mostly Brown,3955.94,168.48,23.48,168.48,,,5.19,163.29,2026,21,2026-09-10 10:37:54.228745
d8ca1ab7-d0d2-22db-efdc-b78ff55f56ce,,7aecec81-2c07-4a42-f2a5-5c0ca8f399f8,G-115,Barn-A2,78,Mostly Brown,2432.27,97.35,24.98,97.35,1.39,1.02,,94.94,2026,2,2026-09-10 10:37:54.228745
c7405acb-5ca1-6366-c129-2fa0189c91ee,,feb9a31c-af0a-96c8-bc93-5110cb477e85,G-126,Barn-F6,55,Mostly White,1047.77,94.16,11.13,94.16,,,5.41,88.75,2026,20,2026-09-10 10:37:54.228745
bde50fb2-3662-e708-fd75-05948cb303ee,,97675669-92a4-f344-0165-f5ddf27efe1f,G-116,Barn-G3,83,White,3610.43,137.54,26.25,137.54,3.57,0.4,,133.57,2026,48,2026-09-10 10:37:54.228745
b266be46-e407-ac50-d51d-5b4fcf7809ff,,feb9a31c-af0a-96c8-bc93-5110cb477e85,G-103,Barn-B2,22,White,3435.05,170.01,20.2,170.01,1.24,2.88,,165.89,2026,43,2026-09-10 10:37:54.228745
3b12c06b-51ca-6201-f67b-69499baa9313,,4cc4e40a-7dbb-32c5-48bd-4f5f10befe33,G-120,Barn-B1,78,White,2195.01,59.0,37.2,59.0,1.77,1.51,,55.72,2026,42,2026-09-10 10:37:54.228745
31ff6e4d-79df-73ff-9d39-500965c2a1ee,,4a2a3e41-f835-9314-d263-3d6da014c5d4,G-123,Barn-F2,21,Brown,3924.74,49.58,79.16,49.58,,,5.93,43.65,2026,16,2026-09-10 10:37:54.228745
bfd8f4e7-8668-8e04-6cd0-d39627c59343,,4ee18854-e188-6671-a365-10bc0d1899ab,G-116,Barn-E2,60,Mostly Brown,2182.67,190.25,11.47,190.25,1.19,0.12,,188.94,2026,51,2026-09-10 10:37:54.228745
a7c5e6a6-fd32-a2ed-408f-56c9a87da33a,,feb9a31c-af0a-96c8-bc93-5110cb477e85,G-119,Barn-G2,35,White,1362.18,157.77,8.63,157.77,1.52,2.81,,153.44,2026,47,2026-09-10 10:37:54.228745
352f890e-00d0-3f09-a668-ff25322ac33f,,7a2d3dec-ab9a-6dca-cc2c-2cdd0f47529b,G-124,Barn-G3,63,White,1758.58,64.08,27.44,64.08,1.12,1.98,,60.98,2026,27,2026-09-10 10:37:54.228745
42a4546b-908e-d156-f1e8-7785f1ceddf6,,7a2d3dec-ab9a-6dca-cc2c-2cdd0f47529b,G-106,Barn-C3,74,Mostly White,1409.35,88.36,15.95,88.36,1.39,0.12,,86.85,2026,14,2026-09-10 10:37:54.228745
3f4b2968-76d0-a2c3-512f-1a2c2be6cb0f,,158fea2b-7187-4113-e976-6981585f0b27,G-115,Barn-C6,43,Mostly White,2650.8,186.22,14.23,186.22,2.8,1.5,,181.92,2026,2,2026-09-10 10:37:54.228745
941db839-27e2-e618-4131-f30fc59eb783,,158fea2b-7187-4113-e976-6981585f0b27,G-105,Barn-E5,67,Brown,1198.19,46.31,25.87,46.31,1.24,0.17,,44.9,2026,31,2026-09-10 10:37:54.228745
0f4f555d-f75a-7404-477d-935960cd2f50,,6dec7c86-6cb1-3e94-399b-8bf85d1956a7,G-110,Barn-D4,30,Mostly Brown,1380.16,197.34,6.99,197.34,,,2.1,195.24,2026,21,2026-09-10 10:37:54.228745
8a38c516-77d0-7b99-eaab-89adfd6f6a66,,4cc4e40a-7dbb-32c5-48bd-4f5f10befe33,G-130,Barn-H2,43,Mostly White,1414.96,172.58,8.2,172.58,,,1.67,170.91,2026,6,2026-09-10 10:37:54.228745
867367dc-62e8-3a32-f3f7-22fa35788589,,811f16c8-12b0-ca82-7cdb-6b4f8f5fda65,G-104,Barn-B1,68,White,2040.24,99.84,20.44,99.84,3.84,1.83,,94.17,2026,1,2026-09-10 10:37:54.228745
e53d2471-c169-b744-79ae-811843a24eee,,4a2a3e41-f835-9314-d263-3d6da014c5d4,G-104,Barn-B1,45,Mostly Brown,3420.54,201.27,16.99,201.27,1.83,1.01,,198.43,2026,9,2026-09-10 10:37:54.228745
a5062125-5d0a-29a3-7ac5-b3f4b09ff5fb,,feb9a31c-af0a-96c8-bc93-5110cb477e85,G-105,Barn-A1,43,White,1620.4,184.23,8.8,184.23,1.27,1.62,,181.34,2026,15,2026-09-10 10:37:54.228745
c150ba6d-9f1b-045b-dc9f-d9a9f60c7c17,,4a2a3e41-f835-9314-d263-3d6da014c5d4,G-121,Barn-E5,21,Brown,2287.88,97.75,23.41,97.75,0.29,0.01,,97.45,2026,51,2026-09-10 10:37:54.228745
fcc55cfb-43e4-faa7-e375-6bba2797b106,,12d465da-5bb8-8633-537c-9792ab8755c5,G-101,Barn-G4,27,Mostly Brown,1784.0,149.71,11.92,149.71,1.89,1.98,,145.84,2026,40,2026-09-10 10:37:54.228745
642d5c49-5704-3f3a-416e-36fa8f5f8095,,0c98ae86-c6cc-ac69-3f7a-9c53bf4302b2,G-118,Barn-F4,78,Brown,2076.0,114.24,18.17,114.24,3.42,1.18,,109.64,2026,30,2026-09-10 10:37:54.228745
bb6488d2-2774-37ba-30b3-f848ce400a47,,a5336e83-ebc9-d083-4b2f-d3fba64108e7,G-120,Barn-G2,52,White,3215.62,116.93,27.5,116.93,0.38,2.31,,114.24,2026,42,2026-09-10 10:37:54.228745
b0c75d6b-4398-f595-2fec-c6598540d618,,feb9a31c-af0a-96c8-bc93-5110cb477e85,G-111,Barn-C1,34,White,1548.66,61.3,25.26,61.3,3.91,2.59,,54.8,2026,27,2026-09-10 10:37:54.228745
496a2e3c-3dae-d125-e83c-1b1d95c8f484,,7a2d3dec-ab9a-6dca-cc2c-2cdd0f47529b,G-124,Barn-A1,61,Mostly Brown,2107.49,103.02,20.46,103.02,,,5.49,97.53,2026,23,2026-09-10 10:37:54.228745
527e557e-ec1c-39f0-8202-fa31862a20a8,,4cc4e40a-7dbb-32c5-48bd-4f5f10befe33,G-126,Barn-F1,67,Mostly Brown,3031.54,41.7,72.7,41.7,3.81,1.91,,35.98,2026,26,2026-09-10 10:37:54.228745
1c9de8c8-9e95-7683-fd16-3851b73c42f7,,97675669-92a4-f344-0165-f5ddf27efe1f,G-119,Barn-G4,55,Brown,2239.14,179.04,12.51,179.04,2.01,1.14,,175.89,2026,40,2026-09-10 10:37:54.228745
4a3107ae-273b-7acc-a0e6-1776986ddf70,,d4a7163b-faa2-ac82-d733-291edba947cb,G-110,Barn-F5,49,Brown,922.69,72.84,12.67,72.84,,,4.33,68.51,2026,9,2026-09-10 10:37:54.228745
a8a19a45-7fe2-ea80-99b6-95cec046ef9c,,d38713cf-60bb-269d-e333-d9dd45e58674,G-112,Barn-G6,49,Mostly Brown,2442.9,90.79,26.91,90.79,,,5.85,84.94,2026,19,2026-09-10 10:37:54.228745
2d66893b-6626-42fb-e6f9-bf277653e8f1,,d38713cf-60bb-269d-e333-d9dd45e58674,G-115,Barn-G3,38,Brown,820.15,82.81,9.9,82.81,0.22,1.05,,81.54,2026,3,2026-09-10 10:37:54.228745
8fa33c2b-252e-066f-5791-4a24d428edaf,,d4a7163b-faa2-ac82-d733-291edba947cb,G-107,Barn-E5,29,Mostly Brown,1602.87,217.09,7.38,217.09,3.13,0.38,,213.58,2026,52,2026-09-10 10:37:54.228745
4f62017a-1477-34c4-0818-897d588e47ca,,feb9a31c-af0a-96c8-bc93-5110cb477e85,G-110,Barn-D3,50,Brown,3035.75,80.01,37.94,80.01,3.15,2.48,,74.38,2026,32,2026-09-10 10:37:54.228745
ac0ddabc-454e-5ff3-7f4f-2abc8cfc3521,,4ee18854-e188-6671-a365-10bc0d1899ab,G-104,Barn-E4,81,Mostly Brown,3319.03,103.07,32.2,103.07,0.5,1.43,,101.14,2026,44,2026-09-10 10:37:54.228745
758d95a6-d503-273e-ed6c-e21624b6dda6,,e97bc674-ea32-7188-1437-74cd0139e254,G-125,Barn-A5,46,Brown,1196.73,42.57,28.11,42.57,,,2.13,40.44,2026,26,2026-09-10 10:37:54.228745
e06340a1-4c90-115f-36cc-adbfd467ab7a,,e97bc674-ea32-7188-1437-74cd0139e254,G-114,Barn-B2,40,White,1520.0,192.85,7.88,192.85,0.25,2.42,,190.18,2026,44,2026-09-10 10:37:54.228745
826d76a0-1392-2629-b359-1ee8d19b81dd,,4cc4e40a-7dbb-32c5-48bd-4f5f10befe33,G-130,Barn-F2,88,Brown,2323.52,131.65,17.65,131.65,3.03,1.58,,127.04,2026,1,2026-09-10 10:37:54.228745
22c82e26-ae2f-8df5-c2be-000a723b259e,,4a2a3e41-f835-9314-d263-3d6da014c5d4,G-123,Barn-D6,89,Brown,1931.94,139.47,13.85,139.47,3.19,0.44,,135.84,2026,19,2026-09-10 10:37:54.228745
64552f3c-0928-8358-93be-57b3544f5168,,feb9a31c-af0a-96c8-bc93-5110cb477e85,G-123,Barn-D1,24,White,1323.46,134.83,9.82,134.83,1.64,2.91,,130.28,2026,43,2026-09-10 10:37:54.228745
fcc08b90-5cce-c6ff-5778-dd57f35d0be6,,5c66c458-1c8c-857b-678f-5a8532f4bdb0,G-117,Barn-A4,47,Brown,983.64,77.94,12.62,77.94,,,4.8,73.14,2026,3,2026-09-10 10:37:54.228745
32058e7a-8db5-58d9-59e5-feef34f0a3f4,,811f16c8-12b0-ca82-7cdb-6b4f8f5fda65,G-121,Barn-A5,43,White,1959.38,158.3,12.38,158.3,,,2.07,156.23,2026,17,2026-09-10 10:37:54.228745
22f0ba22-cc6a-1f68-212a-6587b10b099b,,811f16c8-12b0-ca82-7cdb-6b4f8f5fda65,G-124,Barn-H2,78,Brown,3026.47,108.09,28.0,108.09,1.2,2.33,,104.56,2026,31,2026-09-10 10:37:54.228745
226ff813-c8a6-f043-51f3-0b548a9fb9b2,,211d941d-9b98-fcfa-363d-1000b27bebf3,G-120,Barn-D3,29,Brown,3159.6,68.91,45.85,68.91,,,1.13,67.78,2026,48,2026-09-10 10:37:54.228745
e57cef50-22cc-9d48-8a89-1257c50dd09f,,97675669-92a4-f344-0165-f5ddf27efe1f,G-106,Barn-E1,48,Mostly Brown,2666.18,175.32,15.21,175.32,,,1.83,173.49,2026,13,2026-09-10 10:37:54.228745
3b234eb2-77d6-0696-5142-436d539860fc,,a5336e83-ebc9-d083-4b2f-d3fba64108e7,G-105,Barn-F4,62,White,1731.19,67.55,25.63,67.55,,,1.25,66.3,2026,36,2026-09-10 10:37:54.228745
b66412a2-13f4-83b0-d9e5-1f2f56c6e0d8,,158fea2b-7187-4113-e976-6981585f0b27,G-116,Barn-D6,55,White,2634.58,55.12,47.8,55.12,0.01,1.31,,53.8,2026,13,2026-09-10 10:37:54.228745
d4e1c085-9862-3905-2274-bf1c61827bc0,,7525df8d-7b02-5c66-60bf-7ed5fe8b105f,G-102,Barn-D4,58,Mostly Brown,1528.34,82.26,18.58,82.26,3.42,1.75,,77.09,2026,22,2026-09-10 10:37:54.228745
3321bdb7-2d6e-dfaa-057d-d6c06ff0a253,,4a2a3e41-f835-9314-d263-3d6da014c5d4,G-110,Barn-D6,42,Brown,3795.91,49.32,76.96,49.32,3.49,0.37,,45.46,2026,20,2026-09-10 10:37:54.228745
f0f209f7-d15f-640e-3fe3-6345edcd8f03,,7525df8d-7b02-5c66-60bf-7ed5fe8b105f,G-105,Barn-A5,80,White,3480.22,212.42,16.38,212.42,,,0.75,211.67,2026,33,2026-09-10 10:37:54.228745
c0ac677c-f91e-42a6-c3db-4a483ec7f403,,042cb50c-49e9-4266-d15e-f9e89f12c805,G-103,Barn-F3,27,Mostly Brown,1219.0,196.12,6.22,196.12,1.62,2.73,,191.77,2026,38,2026-09-10 10:37:54.228745
17a56100-9de6-4414-cba1-b4b0c84ff87f,,811f16c8-12b0-ca82-7cdb-6b4f8f5fda65,G-107,Barn-D2,62,Brown,2652.76,174.72,15.18,174.72,3.81,2.04,,168.87,2026,32,2026-09-10 10:37:54.228745
c7f6327b-09a5-7725-81ee-7d6fb29f7603,,211d941d-9b98-fcfa-363d-1000b27bebf3,G-120,Barn-E4,41,Brown,2490.12,163.22,15.26,163.22,,,2.8,160.42,2026,35,2026-09-10 10:37:54.228745
fd3e3c09-3ea1-f15f-0420-48c414b75bee,,4ee18854-e188-6671-a365-10bc0d1899ab,G-126,Barn-D4,77,Brown,1998.58,139.35,14.34,139.35,,,2.62,136.73,2026,23,2026-09-10 10:37:54.228745
24d63d49-080a-68ce-e370-a2da6e8d52f8,,042cb50c-49e9-4266-d15e-f9e89f12c805,G-113,Barn-A5,33,Brown,1910.78,56.24,33.98,56.24,1.94,2.62,,51.68,2026,10,2026-09-10 10:37:54.228745
fe94096a-c4ec-f9d5-b83b-50b917007cf1,,d4a7163b-faa2-ac82-d733-291edba947cb,G-104,Barn-H6,53,Mostly White,3520.01,196.34,17.93,196.34,,,2.9,193.44,2026,21,2026-09-10 10:37:54.228745
e3e6e2cc-b0e4-a5fd-a8a1-cf1105a5bd5e,,211d941d-9b98-fcfa-363d-1000b27bebf3,G-110,Barn-B2,80,Brown,2969.88,203.33,14.61,203.33,,,2.27,201.06,2026,18,2026-09-10 10:37:54.228745
fdc58c67-7d79-5732-a529-2e964a6cff27,,158fea2b-7187-4113-e976-6981585f0b27,G-118,Barn-F1,31,White,3910.24,208.77,18.73,208.77,2.09,2.69,,203.99,2026,6,2026-09-10 10:37:54.228745
03c5963b-ffbd-9dbe-9b1e-1ac63b8a1c21,,042cb50c-49e9-4266-d15e-f9e89f12c805,G-120,Barn-H2,47,Mostly White,2036.94,157.88,12.9,157.88,,,3.1,154.78,2026,44,2026-09-10 10:37:54.228745
4064a6cc-7c17-4b82-41bc-c552cc2dd390,,0c98ae86-c6cc-ac69-3f7a-9c53bf4302b2,G-124,Barn-D4,79,Mostly White,1242.43,50.03,24.83,50.03,3.63,1.13,,45.27,2026,1,2026-09-10 10:37:54.228745
568abc56-6ab3-b680-9de7-5cc3b239f2b9,,6dec7c86-6cb1-3e94-399b-8bf85d1956a7,G-123,Barn-D5,61,White,963.94,207.29,4.65,207.29,3.53,1.43,,202.33,2026,35,2026-09-10 10:37:54.228745
260fda08-4f21-fcb8-8bf8-d9a05e50bc86,,4ee18854-e188-6671-a365-10bc0d1899ab,G-129,Barn-E4,74,Mostly White,884.95,180.01,4.92,180.01,0.98,2.23,,176.8,2026,16,2026-09-10 10:37:54.228745
810e478b-864d-d7b5-69e3-da58f1c82a26,,4cc4e40a-7dbb-32c5-48bd-4f5f10befe33,G-117,Barn-D2,34,Brown,3362.58,149.77,22.45,149.77,3.8,0.26,,145.71,2026,19,2026-09-10 10:37:54.228745
0e3de377-f590-6fdb-3158-b277f590cf52,,97675669-92a4-f344-0165-f5ddf27efe1f,G-125,Barn-G5,33,White,1574.53,90.65,17.37,90.65,,,4.14,86.51,2026,50,2026-09-10 10:37:54.228745
06eb5ecf-e01e-23b1-9962-d50b9e0976c3,,97675669-92a4-f344-0165-f5ddf27efe1f,G-103,Barn-A2,22,Mostly White,1604.07,137.56,11.66,137.56,2.9,0.61,,134.05,2026,41,2026-09-10 10:37:54.228745
792c7d7c-af96-657b-9811-05febb4a7d29,,4cc4e40a-7dbb-32c5-48bd-4f5f10befe33,G-114,Barn-E1,54,White,2287.27,155.65,14.69,155.65,0.04,2.19,,153.42,2026,50,2026-09-10 10:37:54.228745
89f87bb7-4d3c-83ba-1f79-51e0bd93c1a4,,04fa314f-4d3d-65a0-8981-7872cd715c69,G-110,Barn-G6,53,Mostly White,1683.77,80.95,20.8,80.95,,,3.84,77.11,2026,43,2026-09-10 10:37:54.228745
26c0013d-c876-d0bb-fcc5-a0072853a50e,,7525df8d-7b02-5c66-60bf-7ed5fe8b105f,G-102,Barn-C3,27,Brown,1978.62,147.1,13.45,147.1,3.69,0.85,,142.56,2026,16,2026-09-10 10:37:54.228745
fd3aa252-5d94-536d-df39-3e04ca2f6303,,4a2a3e41-f835-9314-d263-3d6da014c5d4,G-125,Barn-F2,44,Brown,2811.62,210.68,13.35,210.68,3.92,0.58,,206.18,2026,14,2026-09-10 10:37:54.228745
bd898ac3-6725-02fa-e53e-3903545923e1,,12d465da-5bb8-8633-537c-9792ab8755c5,G-111,Barn-H6,30,Brown,2139.21,210.31,10.17,210.31,,,3.58,206.73,2026,43,2026-09-10 10:37:54.228745
0f06f944-f682-7770-cc75-35f52b75ba52,,04fa314f-4d3d-65a0-8981-7872cd715c69,G-126,Barn-E6,52,Brown,1876.21,98.65,19.02,98.65,,,2.87,95.78,2026,44,2026-09-10 10:37:54.228745
f37202bf-78da-abaa-b76a-199214384ef1,,feb9a31c-af0a-96c8-bc93-5110cb477e85,G-124,Barn-A4,81,Brown,2835.03,65.97,42.97,65.97,3.56,0.32,,62.09,2026,13,2026-09-10 10:37:54.228745
5dff41e2-1e9a-bf31-7768-0f330b8fdc49,,12d465da-5bb8-8633-537c-9792ab8755c5,G-120,Barn-C4,57,Mostly Brown,3665.25,116.51,31.46,116.51,3.49,1.08,,111.94,2026,16,2026-09-10 10:37:54.228745
01d8e7af-4f42-72c8-865a-6774d5306047,,d4a7163b-faa2-ac82-d733-291edba947cb,G-104,Barn-G5,47,Brown,2592.61,65.21,39.76,65.21,3.55,2.69,,58.97,2026,24,2026-09-10 10:37:54.228745
df7017c7-0fec-eb5a-eba6-0b9966d6b118,,d38713cf-60bb-269d-e333-d9dd45e58674,G-102,Barn-B2,37,White,2250.89,98.93,22.75,98.93,0.65,2.79,,95.49,2026,15,2026-09-10 10:37:54.228745
f8e95a8f-4e1e-d18c-1d0e-87452f31568e,,feb9a31c-af0a-96c8-bc93-5110cb477e85,G-127,Barn-E2,18,White,2366.78,129.72,18.25,129.72,2.5,2.39,,124.83,2026,42,2026-09-10 10:37:54.228745
d448ffba-f18e-d9bb-f944-2afd9a5f9763,,e97bc674-ea32-7188-1437-74cd0139e254,G-122,Barn-B3,66,Brown,1782.96,198.06,9.0,198.06,,,1.05,197.01,2026,8,2026-09-10 10:37:54.228745
ce2ede87-e83e-1203-8663-1cb9d3649e13,,0c98ae86-c6cc-ac69-3f7a-9c53bf4302b2,G-118,Barn-F3,58,White,3577.33,98.01,36.5,98.01,1.54,2.43,,94.04,2026,43,2026-09-10 10:37:54.228745
8d19e93c-8a91-0872-8a5e-e8145201a5f2,,7525df8d-7b02-5c66-60bf-7ed5fe8b105f,G-128,Barn-C1,74,Mostly White,3879.25,85.49,45.38,85.49,,,4.24,81.25,2026,27,2026-09-10 10:37:54.228745
25f7fc8b-ac0c-9599-9b58-6f39e7f341c5,,97675669-92a4-f344-0165-f5ddf27efe1f,G-119,Barn-H2,39,White,1210.56,216.28,5.6,216.28,1.0,0.48,,214.8,2026,21,2026-09-10 10:37:54.228745
4d8ed68b-f2c5-2774-e160-a81362fb45b1,,4ee18854-e188-6671-a365-10bc0d1899ab,G-103,Barn-E3,21,White,1595.52,133.5,11.95,133.5,1.41,1.56,,130.53,2026,46,2026-09-10 10:37:54.228745
05388de7-7184-2de1-fddf-b0d80842e250,,7aecec81-2c07-4a42-f2a5-5c0ca8f399f8,G-123,Barn-C2,87,Brown,3150.28,52.78,59.69,52.78,,,4.33,48.45,2026,27,2026-09-10 10:37:54.228745
c026ae30-3318-c022-bf3a-b9bceccd7f55,,4ee18854-e188-6671-a365-10bc0d1899ab,G-127,Barn-B5,30,Mostly White,1220.04,97.87,12.47,97.87,2.75,2.63,,92.49,2026,30,2026-09-10 10:37:54.228745
e6544aa3-a636-00c3-9c7f-aa05c1c76d60,,4a2a3e41-f835-9314-d263-3d6da014c5d4,G-113,Barn-D3,25,Brown,3211.65,193.36,16.61,193.36,1.85,0.02,,191.49,2026,47,2026-09-10 10:37:54.228745
3d8f0096-be7f-99a5-9da1-8c41ea7f2400,,12d465da-5bb8-8633-537c-9792ab8755c5,G-117,Barn-B5,20,White,1953.83,113.02,17.29,113.02,1.35,0.69,,110.98,2026,26,2026-09-10 10:37:54.228745
662f0ac0-2667-0894-b4a9-9f8e83f2c29e,,4ee18854-e188-6671-a365-10bc0d1899ab,G-116,Barn-F3,84,Mostly White,3652.17,104.53,34.94,104.53,0.64,0.95,,102.94,2026,24,2026-09-10 10:37:54.228745
136da868-6479-1ce9-c08c-d541b02877c8,,5c66c458-1c8c-857b-678f-5a8532f4bdb0,G-122,Barn-E5,72,White,2433.32,72.1,33.75,72.1,0.11,1.24,,70.75,2026,44,2026-09-10 10:37:54.228745
a08a2d88-0a8b-7d3f-eea9-2d3449987b74,,a5336e83-ebc9-d083-4b2f-d3fba64108e7,G-106,Barn-A5,88,Mostly Brown,3195.55,173.54,18.41,173.54,,,1.73,171.81,2026,26,2026-09-10 10:37:54.228745
756e7f83-3883-1cc7-d8a5-a8709f2cdde1,,6dec7c86-6cb1-3e94-399b-8bf85d1956a7,G-106,Barn-A6,40,White,1080.49,46.93,23.02,46.93,,,2.33,44.6,2026,47,2026-09-10 10:37:54.228745
