FLOCK_ID,ACCOUNT_ID,FACILITY_ID,FLOCK_NUMBER,LICENCE_NUMBER,BIRD_COUNT,PLACEMENT_DATE,HATCH_DATE,EGG_COLOUR,EST_PROD_COMPLETION,EST_DISPOSAL,ACTUAL_DISPOSAL,DISPOSAL_METHOD,STATUS,CREATED_AT,UPDATED_AT
e97bc674-ea32-7188-1437-74cd0139e254,847fd9b4-e64d-1bcb-7027-53a15f987c71,67495073-935c-8b9f-ef69-ad42af5f3eed,F-0011,LIC-87128,8314,2025-05-14,2025-05-05,Mostly Brown,2026-08-16,2026-08-28,,,Planned,2026-09-10 10:37:54.225098,2026-09-10 10:37:54.225098
211d941d-9b98-fcfa-363d-1000b27bebf3,847fd9b4-e64d-1bcb-7027-53a15f987c71,67495073-935c-8b9f-ef69-ad42af5f3eed,F-0012,LIC-87128,18712,2024-11-19,2024-11-02,Brown,2026-02-18,2026-03-07,,,Active,2026-09-10 10:37:54.225098,2026-09-10 10:37:54.225098
4ee18854-e188-6671-a365-10bc0d1899ab,7900f7f9-9382-9b43-922f-e15ae1e3db63,0f898879-3990-af27-639f-6342fd55ce5f,F-0013,LIC-56438,16824,2026-04-14,2026-04-10,Brown,2027-10-02,2027-10-10,,,Planned,2026-09-10 10:37:54.225098,2026-09-10 10:37:54.225098
042cb50c-49e9-4266-d15e-f9e89f12c805,23e2fcb4-72d8-567d-894a-05e430b187ef,b30207e3-1bc0-4c84-0190-cbe83fcb670d,F-0014,LIC-16630,6181,2024-10-05,2024-09-15,Brown,2026-01-30,2026-02-02,,,Planned,2026-09-10 10:37:54.225098,2026-09-10 10:37:54.225098
d38713cf-60bb-269d-e333-d9dd45e58674,23e2fcb4-72d8-567d-894a-05e430b187ef,b30207e3-1bc0-4c84-0190-cbe83fcb670d,F-0015,LIC-16630,6466,2026-08-01,2026-07-26,Brown,2027-10-19,2027-11-06,,,Planned,2026-09-10 10:37:54.225098,2026-09-10 10:37:54.225098
7aecec81-2c07-4a42-f2a5-5c0ca8f399f8,23e2fcb4-72d8-567d-894a-05e430b187ef,b30207e3-1bc0-4c84-0190-cbe83fcb670d,F-0016,LIC-16630,12630,2026-03-22,2026-03-12,Mostly White,2027-08-07,2027-08-21,,,Active,2026-09-10 10:37:54.225098,2026-09-10 10:37:54.225098
7525df8d-7b02-5c66-60bf-7ed5fe8b105f,fc3d3348-008d-4127-6104-61e32a25a888,03c5d1dd-1b02-24af-6cd3-2f2c60719930,F-0017,LIC-30289,22930,2025-11-05,2025-10-26,Mostly White,2027-04-02,2027-04-20,2027-04-09,Sold Live,Depopulated,2026-09-10 10:37:54.225098,2026-09-10 10:37:54.225098
6dec7c86-6cb1-3e94-399b-8bf85d1956a7,fc3d3348-008d-4127-6104-61e32a25a888,12d48c0c-cb59-c491-a5c3-8d2ed65371ec,F-0018,LIC-30289,9706,2026-01-09,2025-12-24,White,2027-05-12,2027-05-20,,,Active,2026-09-10 10:37:54.225098,2026-09-10 10:37:54.225098
04fa314f-4d3d-65a0-8981-7872cd715c69,3c365296-dca0-2eec-acda-bacc1165e210,ab1fc650-91ca-33aa-493b-c738267bdc9c,F-0019,LIC-64948,7189,2024-09-06,2024-08-23,Brown,2025-10-12,2025-11-02,,,Active,2026-09-10 10:37:54.225098,2026-09-10 10:37:54.225098
97675669-92a4-f344-0165-f5ddf27efe1f,3c365296-dca0-2eec-acda-bacc1165e210,ab1fc650-91ca-33aa-493b-c738267bdc9c,F-0020,LIC-64948,15130,2025-10-04,2025-09-13,Mostly White,2027-03-01,2027-03-06,2027-04-06,Render,Depopulated,2026-09-10 10:37:54.225098,2026-09-10 10:37:54.225098
7a2d3dec-ab9a-6dca-cc2c-2cdd0f47529b,3c365296-dca0-2eec-acda-bacc1165e210,ab1fc650-91ca-33aa-493b-c738267bdc9c,F-0021,LIC-64948,4306,2025-01-21,2025-01-10,White,2026-05-25,2026-06-03,,,Active,2026-09-10 10:37:54.225098,2026-09-10 10:37:54.225098
