FACILITY_ID,ACCOUNT_ID,FACILITY_NAME,FACILITY_TYPE,STATUS,ACTIVATION_DATE
DEV_MIGRATION_F_00042,DEV_MIGRATION_A_00021,Synthetic Facility 042,Layer,Active,2020-06-01
DEV_MIGRATION_F_00043,DEV_MIGRATION_A_00022,Synthetic Facility 043,Layer,Active,2020-07-01
DEV_MIGRATION_F_00044,DEV_MIGRATION_A_00022,Synthetic Facility 044,Layer,Active,2020-08-01
DEV_MIGRATION_F_00045,DEV_MIGRATION_A_00023,Synthetic Facility 045,Layer,Active,2020-09-01
DEV_MIGRATION_F_00046,DEV_MIGRATION_A_00023,Synthetic Facility 046,Layer,Active,2020-10-01
DEV_MIGRATION_F_00047,DEV_MIGRATION_A_00024,Synthetic Facility 047,Layer,Active,2020-11-01
DEV_MIGRATION_F_00048,DEV_MIGRATION_A_00024,Synthetic Facility 048,Layer,Active,2020-12-01
DEV_MIGRATION_F_00049,DEV_MIGRATION_A_00025,Synthetic Facility 049,Layer,Active,2020-01-01
DEV_MIGRATION_F_00050,DEV_MIGRATION_A_00025,Synthetic Facility 050,Layer,Active,2020-02-01
DEV_MIGRATION_F_00051,DEV_MIGRATION_A_00026,Synthetic Facility 051,Layer,Active,2020-03-01
DEV_MIGRATION_F_00052,DEV_MIGRATION_A_00026,Synthetic Facility 052,Layer,Active,2020-04-01
DEV_MIGRATION_F_00053,DEV_MIGRATION_A_00027,Synthetic Facility 053,Layer,Active,2020-05-01
DEV_MIGRATION_F_00054,DEV_MIGRATION_A_00027,Synthetic Facility 054,Layer,Active,2020-06-01
DEV_MIGRATION_F_00055,DEV_MIGRATION_A_00028,Synthetic Facility 055,Layer,Active,2020-07-01
DEV_MIGRATION_F_00056,DEV_MIGRATION_A_00028,Synthetic Facility 056,Layer,Active,2020-08-01
DEV_MIGRATION_F_00057,DEV_MIGRATION_A_00029,Synthetic Facility 057,Layer,Active,2020-09-01
DEV_MIGRATION_F_00058,DEV_MIGRATION_A_00029,Synthetic Facility 058,Layer,Active,2020-10-01
DEV_MIGRATION_F_00059,DEV_MIGRATION_A_00030,Synthetic Facility 059,Layer,Active,2020-11-01
DEV_MIGRATION_F_00060,DEV_MIGRATION_A_00030,Synthetic Facility 060,Layer,Active,2020-12-01
DEV_MIGRATION_F_00061,DEV_MIGRATION_A_00031,Synthetic Facility 061,Layer,Active,2020-01-01
DEV_MIGRATION_F_00062,DEV_MIGRATION_A_00031,Synthetic Facility 062,Layer,Active,2020-02-01
DEV_MIGRATION_F_00063,DEV_MIGRATION_A_00032,Synthetic Facility 063,Layer,Active,2020-03-01
DEV_MIGRATION_F_00064,DEV_MIGRATION_A_00032,Synthetic Facility 064,Layer,Active,2020-04-01
DEV_MIGRATION_F_00065,DEV_MIGRATION_A_00033,Synthetic Facility 065,Layer,Active,2020-05-01
DEV_MIGRATION_F_00066,DEV_MIGRATION_A_00033,Synthetic Facility 066,Layer,Active,2020-06-01
DEV_MIGRATION_F_00067,DEV_MIGRATION_A_00034,Synthetic Facility 067,Layer,Active,2020-07-01
DEV_MIGRATION_F_00068,DEV_MIGRATION_A_00034,Synthetic Facility 068,Layer,Active,2020-08-01
DEV_MIGRATION_F_00069,DEV_MIGRATION_A_00035,Synthetic Facility 069,Layer,Active,2020-09-01
DEV_MIGRATION_F_00070,DEV_MIGRATION_A_00035,Synthetic Facility 070,Layer,Active,2020-10-01
DEV_MIGRATION_F_00071,DEV_MIGRATION_A_00036,Synthetic Facility 071,Layer,Active,2020-11-01
DEV_MIGRATION_F_00072,DEV_MIGRATION_A_00036,Synthetic Facility 072,Layer,Active,2020-12-01
DEV_MIGRATION_F_00073,DEV_MIGRATION_A_00037,Synthetic Facility 073,Layer,Active,2020-01-01
DEV_MIGRATION_F_00074,DEV_MIGRATION_A_00037,Synthetic Facility 074,Layer,Active,2020-02-01
DEV_MIGRATION_F_00075,DEV_MIGRATION_A_00038,Synthetic Facility 075,Layer,Active,2020-03-01
DEV_MIGRATION_F_00076,DEV_MIGRATION_A_00038,Synthetic Facility 076,Layer,Active,2020-04-01
DEV_MIGRATION_F_00077,DEV_MIGRATION_A_00039,Synthetic Facility 077,Layer,Active,2020-05-01
DEV_MIGRATION_F_00078,DEV_MIGRATION_A_00039,Synthetic Facility 078,Layer,Active,2020-06-01
DEV_MIGRATION_F_00079,DEV_MIGRATION_A_00040,Synthetic Facility 079,Layer,Active,2020-07-01
DEV_MIGRATION_F_00080,DEV_MIGRATION_A_00040,Synthetic Facility 080,Layer,Active,2020-08-01
DEV_MIGRATION_F_00081,DEV_MIGRATION_A_00041,Synthetic Facility 081,Layer,Active,2020-09-01
DEV_MIGRATION_F_00082,DEV_MIGRATION_A_00041,Synthetic Facility 082,Layer,Active,2020-10-01
DEV_MIGRATION_F_00083,DEV_MIGRATION_A_00042,Synthetic Facility 083,Layer,Active,2020-11-01
DEV_MIGRATION_F_00084,DEV_MIGRATION_A_00042,Synthetic Facility 084,Layer,Active,2020-12-01
DEV_MIGRATION_F_00085,DEV_MIGRATION_A_00043,Synthetic Facility 085,Layer,Active,2020-01-01
DEV_MIGRATION_F_00086,DEV_MIGRATION_A_00043,Synthetic Facility 086,Layer,Active,2020-02-01
DEV_MIGRATION_F_00087,DEV_MIGRATION_A_00044,Synthetic Facility 087,Layer,Active,2020-03-01
DEV_MIGRATION_F_00088,DEV_MIGRATION_A_00044,Synthetic Facility 088,Layer,Active,2020-04-01
DEV_MIGRATION_F_00089,DEV_MIGRATION_A_00045,Synthetic Facility 089,Layer,Active,2020-05-01
DEV_MIGRATION_F_00090,DEV_MIGRATION_A_00045,Synthetic Facility 090,Layer,Active,2020-06-01
DEV_MIGRATION_F_00091,DEV_MIGRATION_A_00046,Synthetic Facility 091,Layer,Active,2020-07-01
DEV_MIGRATION_F_00092,DEV_MIGRATION_A_00046,Synthetic Facility 092,Layer,Active,2020-08-01
DEV_MIGRATION_F_00093,DEV_MIGRATION_A_00047,Synthetic Facility 093,Layer,Active,2020-09-01
DEV_MIGRATION_F_00094,DEV_MIGRATION_A_00047,Synthetic Facility 094,Layer,Active,2020-10-01
DEV_MIGRATION_F_00095,DEV_MIGRATION_A_00048,Synthetic Facility 095,Layer,Active,2020-11-01
DEV_MIGRATION_F_00096,DEV_MIGRATION_A_00048,Synthetic Facility 096,Layer,Active,2020-12-01
DEV_MIGRATION_F_00097,DEV_MIGRATION_A_00049,Synthetic Facility 097,Layer,Active,2020-01-01
DEV_MIGRATION_F_00098,DEV_MIGRATION_A_00049,Synthetic Facility 098,Layer,Active,2020-02-01
DEV_MIGRATION_F_00099,DEV_MIGRATION_A_00050,Synthetic Facility 099,Layer,Active,2020-03-01
DEV_MIGRATION_F_00100,DEV_MIGRATION_A_00050,Synthetic Facility 100,Layer,Active,2020-04-01
