FLOCK_TRANSACTION_ID,FLOCK_ID,TRANSACTION_TYPE,QUANTITY,TRANSACTION_DATE,NOTES
DEV_MIGRATION_FT_00030,DEV_MIGRATION_FL_00008,Delivery,105,2025-06-02,Fictional transaction fixture.
DEV_MIGRATION_FT_00031,DEV_MIGRATION_FL_00008,Removal,106,2025-07-03,Fictional transaction fixture.
DEV_MIGRATION_FT_00032,DEV_MIGRATION_FL_00008,Sale,107,2025-08-04,Fictional transaction fixture.
DEV_MIGRATION_FT_00033,DEV_MIGRATION_FL_00009,Count,108,2025-09-05,Fictional transaction fixture.
DEV_MIGRATION_FT_00034,DEV_MIGRATION_FL_00009,Delivery,109,2025-10-06,Fictional transaction fixture.
DEV_MIGRATION_FT_00035,DEV_MIGRATION_FL_00009,Removal,110,2025-11-07,Fictional transaction fixture.
DEV_MIGRATION_FT_00036,DEV_MIGRATION_FL_00009,Sale,111,2025-12-08,Fictional transaction fixture.
DEV_MIGRATION_FT_00037,DEV_MIGRATION_FL_00010,Count,112,2025-01-09,Fictional transaction fixture.
DEV_MIGRATION_FT_00038,DEV_MIGRATION_FL_00010,Delivery,113,2025-02-10,Fictional transaction fixture.
DEV_MIGRATION_FT_00039,DEV_MIGRATION_FL_00010,Removal,114,2025-03-11,Fictional transaction fixture.
DEV_MIGRATION_FT_00040,DEV_MIGRATION_FL_00010,Sale,115,2025-04-12,Fictional transaction fixture.
DEV_MIGRATION_FT_00041,DEV_MIGRATION_FL_00011,Count,116,2025-05-13,Fictional transaction fixture.
DEV_MIGRATION_FT_00042,DEV_MIGRATION_FL_00011,Delivery,117,2025-06-14,Fictional transaction fixture.
DEV_MIGRATION_FT_00043,DEV_MIGRATION_FL_00011,Removal,118,2025-07-15,Fictional transaction fixture.
DEV_MIGRATION_FT_00044,DEV_MIGRATION_FL_00011,Sale,119,2025-08-16,Fictional transaction fixture.
DEV_MIGRATION_FT_00045,DEV_MIGRATION_FL_00012,Count,120,2025-09-17,Fictional transaction fixture.
DEV_MIGRATION_FT_00046,DEV_MIGRATION_FL_00012,Delivery,121,2025-10-18,Fictional transaction fixture.
DEV_MIGRATION_FT_00047,DEV_MIGRATION_FL_00012,Removal,122,2025-11-19,Fictional transaction fixture.
DEV_MIGRATION_FT_00048,DEV_MIGRATION_FL_00012,Sale,123,2025-12-20,Fictional transaction fixture.
DEV_MIGRATION_FT_00049,DEV_MIGRATION_FL_00013,Count,124,2025-01-21,Fictional transaction fixture.
DEV_MIGRATION_FT_00050,DEV_MIGRATION_FL_00013,Delivery,100,2025-02-22,Fictional transaction fixture.
DEV_MIGRATION_FT_00051,DEV_MIGRATION_FL_00013,Removal,101,2025-03-23,Fictional transaction fixture.
DEV_MIGRATION_FT_00052,DEV_MIGRATION_FL_00013,Sale,102,2025-04-24,Fictional transaction fixture.
DEV_MIGRATION_FT_00053,DEV_MIGRATION_FL_00014,Count,103,2025-05-25,Fictional transaction fixture.
DEV_MIGRATION_FT_00054,DEV_MIGRATION_FL_00014,Delivery,104,2025-06-26,Fictional transaction fixture.
DEV_MIGRATION_FT_00055,DEV_MIGRATION_FL_00014,Removal,105,2025-07-27,Fictional transaction fixture.
DEV_MIGRATION_FT_00056,DEV_MIGRATION_FL_00014,Sale,106,2025-08-28,Fictional transaction fixture.
DEV_MIGRATION_FT_00057,DEV_MIGRATION_FL_00015,Count,107,2025-09-01,Fictional transaction fixture.
DEV_MIGRATION_FT_00058,DEV_MIGRATION_FL_00015,Delivery,108,2025-10-02,Fictional transaction fixture.
DEV_MIGRATION_FT_00059,DEV_MIGRATION_FL_00015,Removal,109,2025-11-03,Fictional transaction fixture.
DEV_MIGRATION_FT_00060,DEV_MIGRATION_FL_00015,Sale,110,2025-12-04,Fictional transaction fixture.
DEV_MIGRATION_FT_00061,DEV_MIGRATION_FL_00016,Count,111,2025-01-05,Fictional transaction fixture.
DEV_MIGRATION_FT_00062,DEV_MIGRATION_FL_00016,Delivery,112,2025-02-06,Fictional transaction fixture.
DEV_MIGRATION_FT_00063,DEV_MIGRATION_FL_00016,Removal,113,2025-03-07,Fictional transaction fixture.
DEV_MIGRATION_FT_00064,DEV_MIGRATION_FL_00016,Sale,114,2025-04-08,Fictional transaction fixture.
DEV_MIGRATION_FT_00065,DEV_MIGRATION_FL_00017,Count,115,2025-05-09,Fictional transaction fixture.
DEV_MIGRATION_FT_00066,DEV_MIGRATION_FL_00017,Delivery,116,2025-06-10,Fictional transaction fixture.
DEV_MIGRATION_FT_00067,DEV_MIGRATION_FL_00017,Removal,117,2025-07-11,Fictional transaction fixture.
DEV_MIGRATION_FT_00068,DEV_MIGRATION_FL_00017,Sale,118,2025-08-12,Fictional transaction fixture.
DEV_MIGRATION_FT_00069,DEV_MIGRATION_FL_00018,Count,119,2025-09-13,Fictional transaction fixture.
DEV_MIGRATION_FT_00070,DEV_MIGRATION_FL_00018,Delivery,120,2025-10-14,Fictional transaction fixture.
DEV_MIGRATION_FT_00071,DEV_MIGRATION_FL_00018,Removal,121,2025-11-15,Fictional transaction fixture.
DEV_MIGRATION_FT_00072,DEV_MIGRATION_FL_00018,Sale,122,2025-12-16,Fictional transaction fixture.
DEV_MIGRATION_FT_00073,DEV_MIGRATION_FL_00019,Count,123,2025-01-17,Fictional transaction fixture.
DEV_MIGRATION_FT_00074,DEV_MIGRATION_FL_00019,Delivery,124,2025-02-18,Fictional transaction fixture.
DEV_MIGRATION_FT_00075,DEV_MIGRATION_FL_00019,Removal,100,2025-03-19,Fictional transaction fixture.
DEV_MIGRATION_FT_00076,DEV_MIGRATION_FL_00019,Sale,101,2025-04-20,Fictional transaction fixture.
DEV_MIGRATION_FT_00077,DEV_MIGRATION_FL_00020,Count,102,2025-05-21,Fictional transaction fixture.
DEV_MIGRATION_FT_00078,DEV_MIGRATION_FL_00020,Delivery,103,2025-06-22,Fictional transaction fixture.
DEV_MIGRATION_FT_00079,DEV_MIGRATION_FL_00020,Removal,104,2025-07-23,Fictional transaction fixture.
DEV_MIGRATION_FT_00080,DEV_MIGRATION_FL_00020,Sale,105,2025-08-24,Fictional transaction fixture.
DEV_MIGRATION_FT_00081,DEV_MIGRATION_FL_00021,Count,106,2025-09-25,Fictional transaction fixture.
DEV_MIGRATION_FT_00082,DEV_MIGRATION_FL_00021,Delivery,107,2025-10-26,Fictional transaction fixture.
DEV_MIGRATION_FT_00083,DEV_MIGRATION_FL_00021,Removal,108,2025-11-27,Fictional transaction fixture.
DEV_MIGRATION_FT_00084,DEV_MIGRATION_FL_00021,Sale,109,2025-12-28,Fictional transaction fixture.
DEV_MIGRATION_FT_00085,DEV_MIGRATION_FL_00022,Count,110,2025-01-01,Fictional transaction fixture.
DEV_MIGRATION_FT_00086,DEV_MIGRATION_FL_00022,Delivery,111,2025-02-02,Fictional transaction fixture.
DEV_MIGRATION_FT_00087,DEV_MIGRATION_FL_00022,Removal,112,2025-03-03,Fictional transaction fixture.
DEV_MIGRATION_FT_00088,DEV_MIGRATION_FL_00022,Sale,113,2025-04-04,Fictional transaction fixture.
DEV_MIGRATION_FT_00089,DEV_MIGRATION_FL_00023,Count,114,2025-05-05,Fictional transaction fixture.
DEV_MIGRATION_FT_00090,DEV_MIGRATION_FL_00023,Delivery,115,2025-06-06,Fictional transaction fixture.
DEV_MIGRATION_FT_00091,DEV_MIGRATION_FL_00023,Removal,116,2025-07-07,Fictional transaction fixture.
DEV_MIGRATION_FT_00092,DEV_MIGRATION_FL_00023,Sale,117,2025-08-08,Fictional transaction fixture.
DEV_MIGRATION_FT_00093,DEV_MIGRATION_FL_00024,Count,118,2025-09-09,Fictional transaction fixture.
DEV_MIGRATION_FT_00094,DEV_MIGRATION_FL_00024,Delivery,119,2025-10-10,Fictional transaction fixture.
DEV_MIGRATION_FT_00095,DEV_MIGRATION_FL_00024,Removal,120,2025-11-11,Fictional transaction fixture.
DEV_MIGRATION_FT_00096,DEV_MIGRATION_FL_00024,Sale,121,2025-12-12,Fictional transaction fixture.
DEV_MIGRATION_FT_00097,DEV_MIGRATION_FL_00025,Count,122,2025-01-13,Fictional transaction fixture.
DEV_MIGRATION_FT_00098,DEV_MIGRATION_FL_00025,Delivery,123,2025-02-14,Fictional transaction fixture.
DEV_MIGRATION_FT_00099,DEV_MIGRATION_FL_00025,Removal,124,2025-03-15,Fictional transaction fixture.
DEV_MIGRATION_FT_00100,DEV_MIGRATION_FL_00025,Sale,100,2025-04-16,Fictional transaction fixture.
DEV_MIGRATION_FT_00101,DEV_MIGRATION_FL_00026,Count,101,2025-05-17,Fictional transaction fixture.
DEV_MIGRATION_FT_00102,DEV_MIGRATION_FL_00026,Delivery,102,2025-06-18,Fictional transaction fixture.
DEV_MIGRATION_FT_00103,DEV_MIGRATION_FL_00026,Removal,103,2025-07-19,Fictional transaction fixture.
DEV_MIGRATION_FT_00104,DEV_MIGRATION_FL_00026,Sale,104,2025-08-20,Fictional transaction fixture.
DEV_MIGRATION_FT_00105,DEV_MIGRATION_FL_00027,Count,105,2025-09-21,Fictional transaction fixture.
DEV_MIGRATION_FT_00106,DEV_MIGRATION_FL_00027,Delivery,106,2025-10-22,Fictional transaction fixture.
DEV_MIGRATION_FT_00107,DEV_MIGRATION_FL_00027,Removal,107,2025-11-23,Fictional transaction fixture.
DEV_MIGRATION_FT_00108,DEV_MIGRATION_FL_00027,Sale,108,2025-12-24,Fictional transaction fixture.
DEV_MIGRATION_FT_00109,DEV_MIGRATION_FL_00028,Count,109,2025-01-25,Fictional transaction fixture.
DEV_MIGRATION_FT_00110,DEV_MIGRATION_FL_00028,Delivery,110,2025-02-26,Fictional transaction fixture.
DEV_MIGRATION_FT_00111,DEV_MIGRATION_FL_00028,Removal,111,2025-03-27,Fictional transaction fixture.
DEV_MIGRATION_FT_00112,DEV_MIGRATION_FL_00028,Sale,112,2025-04-28,Fictional transaction fixture.
DEV_MIGRATION_FT_00113,DEV_MIGRATION_FL_00029,Count,113,2025-05-01,Fictional transaction fixture.
DEV_MIGRATION_FT_00114,DEV_MIGRATION_FL_00029,Delivery,114,2025-06-02,Fictional transaction fixture.
DEV_MIGRATION_FT_00115,DEV_MIGRATION_FL_00029,Removal,115,2025-07-03,Fictional transaction fixture.
DEV_MIGRATION_FT_00116,DEV_MIGRATION_FL_00029,Sale,116,2025-08-04,Fictional transaction fixture.
DEV_MIGRATION_FT_00117,DEV_MIGRATION_FL_00030,Count,117,2025-09-05,Fictional transaction fixture.
DEV_MIGRATION_FT_00118,DEV_MIGRATION_FL_00030,Delivery,118,2025-10-06,Fictional transaction fixture.
DEV_MIGRATION_FT_00119,DEV_MIGRATION_FL_00030,Removal,119,2025-11-07,Fictional transaction fixture.
DEV_MIGRATION_FT_00120,DEV_MIGRATION_FL_00030,Sale,120,2025-12-08,Fictional transaction fixture.
DEV_MIGRATION_FT_00121,DEV_MIGRATION_FL_00031,Count,121,2025-01-09,Fictional transaction fixture.
DEV_MIGRATION_FT_00122,DEV_MIGRATION_FL_00031,Delivery,122,2025-02-10,Fictional transaction fixture.
DEV_MIGRATION_FT_00123,DEV_MIGRATION_FL_00031,Removal,123,2025-03-11,Fictional transaction fixture.
DEV_MIGRATION_FT_00124,DEV_MIGRATION_FL_00031,Sale,124,2025-04-12,Fictional transaction fixture.
DEV_MIGRATION_FT_00125,DEV_MIGRATION_FL_00032,Count,100,2025-05-13,Fictional transaction fixture.
DEV_MIGRATION_FT_00126,DEV_MIGRATION_FL_00032,Delivery,101,2025-06-14,Fictional transaction fixture.
DEV_MIGRATION_FT_00127,DEV_MIGRATION_FL_00032,Removal,102,2025-07-15,Fictional transaction fixture.
DEV_MIGRATION_FT_00128,DEV_MIGRATION_FL_00032,Sale,103,2025-08-16,Fictional transaction fixture.
DEV_MIGRATION_FT_00129,DEV_MIGRATION_FL_00033,Count,104,2025-09-17,Fictional transaction fixture.
DEV_MIGRATION_FT_00130,DEV_MIGRATION_FL_00033,Delivery,105,2025-10-18,Fictional transaction fixture.
DEV_MIGRATION_FT_00131,DEV_MIGRATION_FL_00033,Removal,106,2025-11-19,Fictional transaction fixture.
DEV_MIGRATION_FT_00132,DEV_MIGRATION_FL_00033,Sale,107,2025-12-20,Fictional transaction fixture.
DEV_MIGRATION_FT_00133,DEV_MIGRATION_FL_00034,Count,108,2025-01-21,Fictional transaction fixture.
DEV_MIGRATION_FT_00134,DEV_MIGRATION_FL_00034,Delivery,109,2025-02-22,Fictional transaction fixture.
DEV_MIGRATION_FT_00135,DEV_MIGRATION_FL_00034,Removal,110,2025-03-23,Fictional transaction fixture.
DEV_MIGRATION_FT_00136,DEV_MIGRATION_FL_00034,Sale,111,2025-04-24,Fictional transaction fixture.
DEV_MIGRATION_FT_00137,DEV_MIGRATION_FL_00035,Count,112,2025-05-25,Fictional transaction fixture.
DEV_MIGRATION_FT_00138,DEV_MIGRATION_FL_00035,Delivery,113,2025-06-26,Fictional transaction fixture.
DEV_MIGRATION_FT_00139,DEV_MIGRATION_FL_00035,Removal,114,2025-07-27,Fictional transaction fixture.
DEV_MIGRATION_FT_00140,DEV_MIGRATION_FL_00035,Sale,115,2025-08-28,Fictional transaction fixture.
DEV_MIGRATION_FT_00141,DEV_MIGRATION_FL_00036,Count,116,2025-09-01,Fictional transaction fixture.
DEV_MIGRATION_FT_00142,DEV_MIGRATION_FL_00036,Delivery,117,2025-10-02,Fictional transaction fixture.
DEV_MIGRATION_FT_00143,DEV_MIGRATION_FL_00036,Removal,118,2025-11-03,Fictional transaction fixture.
DEV_MIGRATION_FT_00144,DEV_MIGRATION_FL_00036,Sale,119,2025-12-04,Fictional transaction fixture.
DEV_MIGRATION_FT_00145,DEV_MIGRATION_FL_00037,Count,120,2025-01-05,Fictional transaction fixture.
DEV_MIGRATION_FT_00146,DEV_MIGRATION_FL_00037,Delivery,121,2025-02-06,Fictional transaction fixture.
DEV_MIGRATION_FT_00147,DEV_MIGRATION_FL_00037,Removal,122,2025-03-07,Fictional transaction fixture.
DEV_MIGRATION_FT_00148,DEV_MIGRATION_FL_00037,Sale,123,2025-04-08,Fictional transaction fixture.
DEV_MIGRATION_FT_00149,DEV_MIGRATION_FL_00038,Count,124,2025-05-09,Fictional transaction fixture.
DEV_MIGRATION_FT_00150,DEV_MIGRATION_FL_00038,Delivery,100,2025-06-10,Fictional transaction fixture.
DEV_MIGRATION_FT_00151,DEV_MIGRATION_FL_00038,Removal,101,2025-07-11,Fictional transaction fixture.
DEV_MIGRATION_FT_00152,DEV_MIGRATION_FL_00038,Sale,102,2025-08-12,Fictional transaction fixture.
DEV_MIGRATION_FT_00153,DEV_MIGRATION_FL_00039,Count,103,2025-09-13,Fictional transaction fixture.
DEV_MIGRATION_FT_00154,DEV_MIGRATION_FL_00039,Delivery,104,2025-10-14,Fictional transaction fixture.
DEV_MIGRATION_FT_00155,DEV_MIGRATION_FL_00039,Removal,105,2025-11-15,Fictional transaction fixture.
DEV_MIGRATION_FT_00156,DEV_MIGRATION_FL_00039,Sale,106,2025-12-16,Fictional transaction fixture.
DEV_MIGRATION_FT_00157,DEV_MIGRATION_FL_00040,Count,107,2025-01-17,Fictional transaction fixture.
DEV_MIGRATION_FT_00158,DEV_MIGRATION_FL_00040,Delivery,108,2025-02-18,Fictional transaction fixture.
DEV_MIGRATION_FT_00159,DEV_MIGRATION_FL_00040,Removal,109,2025-03-19,Fictional transaction fixture.
DEV_MIGRATION_FT_00160,DEV_MIGRATION_FL_00040,Sale,110,2025-04-20,Fictional transaction fixture.
DEV_MIGRATION_FT_00161,DEV_MIGRATION_FL_00041,Count,111,2025-05-21,Fictional transaction fixture.
DEV_MIGRATION_FT_00162,DEV_MIGRATION_FL_00041,Delivery,112,2025-06-22,Fictional transaction fixture.
DEV_MIGRATION_FT_00163,DEV_MIGRATION_FL_00041,Removal,113,2025-07-23,Fictional transaction fixture.
DEV_MIGRATION_FT_00164,DEV_MIGRATION_FL_00041,Sale,114,2025-08-24,Fictional transaction fixture.
DEV_MIGRATION_FT_00165,DEV_MIGRATION_FL_00042,Count,115,2025-09-25,Fictional transaction fixture.
DEV_MIGRATION_FT_00166,DEV_MIGRATION_FL_00042,Delivery,116,2025-10-26,Fictional transaction fixture.
DEV_MIGRATION_FT_00167,DEV_MIGRATION_FL_00042,Removal,117,2025-11-27,Fictional transaction fixture.
DEV_MIGRATION_FT_00168,DEV_MIGRATION_FL_00042,Sale,118,2025-12-28,Fictional transaction fixture.
DEV_MIGRATION_FT_00169,DEV_MIGRATION_FL_00043,Count,119,2025-01-01,Fictional transaction fixture.
DEV_MIGRATION_FT_00170,DEV_MIGRATION_FL_00043,Delivery,120,2025-02-02,Fictional transaction fixture.
DEV_MIGRATION_FT_00171,DEV_MIGRATION_FL_00043,Removal,121,2025-03-03,Fictional transaction fixture.
DEV_MIGRATION_FT_00172,DEV_MIGRATION_FL_00043,Sale,122,2025-04-04,Fictional transaction fixture.
DEV_MIGRATION_FT_00173,DEV_MIGRATION_FL_00044,Count,123,2025-05-05,Fictional transaction fixture.
DEV_MIGRATION_FT_00174,DEV_MIGRATION_FL_00044,Delivery,124,2025-06-06,Fictional transaction fixture.
DEV_MIGRATION_FT_00175,DEV_MIGRATION_FL_00044,Removal,100,2025-07-07,Fictional transaction fixture.
DEV_MIGRATION_FT_00176,DEV_MIGRATION_FL_00044,Sale,101,2025-08-08,Fictional transaction fixture.
DEV_MIGRATION_FT_00177,DEV_MIGRATION_FL_00045,Count,102,2025-09-09,Fictional transaction fixture.
DEV_MIGRATION_FT_00178,DEV_MIGRATION_FL_00045,Delivery,103,2025-10-10,Fictional transaction fixture.
DEV_MIGRATION_FT_00179,DEV_MIGRATION_FL_00045,Removal,104,2025-11-11,Fictional transaction fixture.
DEV_MIGRATION_FT_00180,DEV_MIGRATION_FL_00045,Sale,105,2025-12-12,Fictional transaction fixture.
DEV_MIGRATION_FT_00181,DEV_MIGRATION_FL_00046,Count,106,2025-01-13,Fictional transaction fixture.
DEV_MIGRATION_FT_00182,DEV_MIGRATION_FL_00046,Delivery,107,2025-02-14,Fictional transaction fixture.
DEV_MIGRATION_FT_00183,DEV_MIGRATION_FL_00046,Removal,108,2025-03-15,Fictional transaction fixture.
DEV_MIGRATION_FT_00184,DEV_MIGRATION_FL_00046,Sale,109,2025-04-16,Fictional transaction fixture.
DEV_MIGRATION_FT_00185,DEV_MIGRATION_FL_00047,Count,110,2025-05-17,Fictional transaction fixture.
DEV_MIGRATION_FT_00186,DEV_MIGRATION_FL_00047,Delivery,111,2025-06-18,Fictional transaction fixture.
DEV_MIGRATION_FT_00187,DEV_MIGRATION_FL_00047,Removal,112,2025-07-19,Fictional transaction fixture.
DEV_MIGRATION_FT_00188,DEV_MIGRATION_FL_00047,Sale,113,2025-08-20,Fictional transaction fixture.
DEV_MIGRATION_FT_00189,DEV_MIGRATION_FL_00048,Count,114,2025-09-21,Fictional transaction fixture.
DEV_MIGRATION_FT_00190,DEV_MIGRATION_FL_00048,Delivery,115,2025-10-22,Fictional transaction fixture.
DEV_MIGRATION_FT_00191,DEV_MIGRATION_FL_00048,Removal,116,2025-11-23,Fictional transaction fixture.
DEV_MIGRATION_FT_00192,DEV_MIGRATION_FL_00048,Sale,117,2025-12-24,Fictional transaction fixture.
DEV_MIGRATION_FT_00193,DEV_MIGRATION_FL_00049,Count,118,2025-01-25,Fictional transaction fixture.
DEV_MIGRATION_FT_00194,DEV_MIGRATION_FL_00049,Delivery,119,2025-02-26,Fictional transaction fixture.
DEV_MIGRATION_FT_00195,DEV_MIGRATION_FL_00049,Removal,120,2025-03-27,Fictional transaction fixture.
DEV_MIGRATION_FT_00196,DEV_MIGRATION_FL_00049,Sale,121,2025-04-28,Fictional transaction fixture.
DEV_MIGRATION_FT_00197,DEV_MIGRATION_FL_00050,Count,122,2025-05-01,Fictional transaction fixture.
DEV_MIGRATION_FT_00198,DEV_MIGRATION_FL_00050,Delivery,123,2025-06-02,Fictional transaction fixture.
DEV_MIGRATION_FT_00199,DEV_MIGRATION_FL_00050,Removal,124,2025-07-03,Fictional transaction fixture.
DEV_MIGRATION_FT_00200,DEV_MIGRATION_FL_00050,Sale,100,2025-08-04,Fictional transaction fixture.
DEV_MIGRATION_FT_00201,DEV_MIGRATION_FL_00051,Count,101,2025-09-05,Fictional transaction fixture.
DEV_MIGRATION_FT_00202,DEV_MIGRATION_FL_00051,Delivery,102,2025-10-06,Fictional transaction fixture.
DEV_MIGRATION_FT_00203,DEV_MIGRATION_FL_00051,Removal,103,2025-11-07,Fictional transaction fixture.
DEV_MIGRATION_FT_00204,DEV_MIGRATION_FL_00051,Sale,104,2025-12-08,Fictional transaction fixture.
DEV_MIGRATION_FT_00205,DEV_MIGRATION_FL_00052,Count,105,2025-01-09,Fictional transaction fixture.
DEV_MIGRATION_FT_00206,DEV_MIGRATION_FL_00052,Delivery,106,2025-02-10,Fictional transaction fixture.
DEV_MIGRATION_FT_00207,DEV_MIGRATION_FL_00052,Removal,107,2025-03-11,Fictional transaction fixture.
DEV_MIGRATION_FT_00208,DEV_MIGRATION_FL_00052,Sale,108,2025-04-12,Fictional transaction fixture.
DEV_MIGRATION_FT_00209,DEV_MIGRATION_FL_00053,Count,109,2025-05-13,Fictional transaction fixture.
DEV_MIGRATION_FT_00210,DEV_MIGRATION_FL_00053,Delivery,110,2025-06-14,Fictional transaction fixture.
DEV_MIGRATION_FT_00211,DEV_MIGRATION_FL_00053,Removal,111,2025-07-15,Fictional transaction fixture.
DEV_MIGRATION_FT_00212,DEV_MIGRATION_FL_00053,Sale,112,2025-08-16,Fictional transaction fixture.
DEV_MIGRATION_FT_00213,DEV_MIGRATION_FL_00054,Count,113,2025-09-17,Fictional transaction fixture.
DEV_MIGRATION_FT_00214,DEV_MIGRATION_FL_00054,Delivery,114,2025-10-18,Fictional transaction fixture.
DEV_MIGRATION_FT_00215,DEV_MIGRATION_FL_00054,Removal,115,2025-11-19,Fictional transaction fixture.
DEV_MIGRATION_FT_00216,DEV_MIGRATION_FL_00054,Sale,116,2025-12-20,Fictional transaction fixture.
DEV_MIGRATION_FT_00217,DEV_MIGRATION_FL_00055,Count,117,2025-01-21,Fictional transaction fixture.
DEV_MIGRATION_FT_00218,DEV_MIGRATION_FL_00055,Delivery,118,2025-02-22,Fictional transaction fixture.
DEV_MIGRATION_FT_00219,DEV_MIGRATION_FL_00055,Removal,119,2025-03-23,Fictional transaction fixture.
DEV_MIGRATION_FT_00220,DEV_MIGRATION_FL_00055,Sale,120,2025-04-24,Fictional transaction fixture.
DEV_MIGRATION_FT_00221,DEV_MIGRATION_FL_00056,Count,121,2025-05-25,Fictional transaction fixture.
DEV_MIGRATION_FT_00222,DEV_MIGRATION_FL_00056,Delivery,122,2025-06-26,Fictional transaction fixture.
DEV_MIGRATION_FT_00223,DEV_MIGRATION_FL_00056,Removal,123,2025-07-27,Fictional transaction fixture.
DEV_MIGRATION_FT_00224,DEV_MIGRATION_FL_00056,Sale,124,2025-08-28,Fictional transaction fixture.
DEV_MIGRATION_FT_00225,DEV_MIGRATION_FL_00057,Count,100,2025-09-01,Fictional transaction fixture.
DEV_MIGRATION_FT_00226,DEV_MIGRATION_FL_00057,Delivery,101,2025-10-02,Fictional transaction fixture.
DEV_MIGRATION_FT_00227,DEV_MIGRATION_FL_00057,Removal,102,2025-11-03,Fictional transaction fixture.
DEV_MIGRATION_FT_00228,DEV_MIGRATION_FL_00057,Sale,103,2025-12-04,Fictional transaction fixture.
DEV_MIGRATION_FT_00229,DEV_MIGRATION_FL_00058,Count,104,2025-01-05,Fictional transaction fixture.
DEV_MIGRATION_FT_00230,DEV_MIGRATION_FL_00058,Delivery,105,2025-02-06,Fictional transaction fixture.
DEV_MIGRATION_FT_00231,DEV_MIGRATION_FL_00058,Removal,106,2025-03-07,Fictional transaction fixture.
DEV_MIGRATION_FT_00232,DEV_MIGRATION_FL_00058,Sale,107,2025-04-08,Fictional transaction fixture.
DEV_MIGRATION_FT_00233,DEV_MIGRATION_FL_00059,Count,108,2025-05-09,Fictional transaction fixture.
DEV_MIGRATION_FT_00234,DEV_MIGRATION_FL_00059,Delivery,109,2025-06-10,Fictional transaction fixture.
DEV_MIGRATION_FT_00235,DEV_MIGRATION_FL_00059,Removal,110,2025-07-11,Fictional transaction fixture.
