FACILITY_DETAIL_ID,FACILITY_ID,DETAIL_NAME,DETAIL_TYPE,STATUS,COMMENTS
DEV_MIGRATION_D_00025,DEV_MIGRATION_F_00025,Synthetic Barn 025,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00026,DEV_MIGRATION_F_00026,Synthetic Barn 026,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00027,DEV_MIGRATION_F_00027,Synthetic Barn 027,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00028,DEV_MIGRATION_F_00028,Synthetic Barn 028,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00029,DEV_MIGRATION_F_00029,Synthetic Barn 029,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00030,DEV_MIGRATION_F_00030,Synthetic Barn 030,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00031,DEV_MIGRATION_F_00031,Synthetic Barn 031,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00032,DEV_MIGRATION_F_00032,Synthetic Barn 032,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00033,DEV_MIGRATION_F_00033,Synthetic Barn 033,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00034,DEV_MIGRATION_F_00034,Synthetic Barn 034,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00035,DEV_MIGRATION_F_00035,Synthetic Barn 035,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00036,DEV_MIGRATION_F_00036,Synthetic Barn 036,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00037,DEV_MIGRATION_F_00037,Synthetic Barn 037,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00038,DEV_MIGRATION_F_00038,Synthetic Barn 038,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00039,DEV_MIGRATION_F_00039,Synthetic Barn 039,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00040,DEV_MIGRATION_F_00040,Synthetic Barn 040,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00041,DEV_MIGRATION_F_00041,Synthetic Barn 041,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00042,DEV_MIGRATION_F_00042,Synthetic Barn 042,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00043,DEV_MIGRATION_F_00043,Synthetic Barn 043,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00044,DEV_MIGRATION_F_00044,Synthetic Barn 044,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00045,DEV_MIGRATION_F_00045,Synthetic Barn 045,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00046,DEV_MIGRATION_F_00046,Synthetic Barn 046,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00047,DEV_MIGRATION_F_00047,Synthetic Barn 047,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00048,DEV_MIGRATION_F_00048,Synthetic Barn 048,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00049,DEV_MIGRATION_F_00049,Synthetic Barn 049,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00050,DEV_MIGRATION_F_00050,Synthetic Barn 050,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00051,DEV_MIGRATION_F_00051,Synthetic Barn 051,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00052,DEV_MIGRATION_F_00052,Synthetic Barn 052,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00053,DEV_MIGRATION_F_00053,Synthetic Barn 053,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00054,DEV_MIGRATION_F_00054,Synthetic Barn 054,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00055,DEV_MIGRATION_F_00055,Synthetic Barn 055,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00056,DEV_MIGRATION_F_00056,Synthetic Barn 056,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00057,DEV_MIGRATION_F_00057,Synthetic Barn 057,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00058,DEV_MIGRATION_F_00058,Synthetic Barn 058,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00059,DEV_MIGRATION_F_00059,Synthetic Barn 059,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00060,DEV_MIGRATION_F_00060,Synthetic Barn 060,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00061,DEV_MIGRATION_F_00061,Synthetic Barn 061,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00062,DEV_MIGRATION_F_00062,Synthetic Barn 062,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00063,DEV_MIGRATION_F_00063,Synthetic Barn 063,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00064,DEV_MIGRATION_F_00064,Synthetic Barn 064,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00065,DEV_MIGRATION_F_00065,Synthetic Barn 065,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00066,DEV_MIGRATION_F_00066,Synthetic Barn 066,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00067,DEV_MIGRATION_F_00067,Synthetic Barn 067,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00068,DEV_MIGRATION_F_00068,Synthetic Barn 068,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00069,DEV_MIGRATION_F_00069,Synthetic Barn 069,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00070,DEV_MIGRATION_F_00070,Synthetic Barn 070,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00071,DEV_MIGRATION_F_00071,Synthetic Barn 071,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00072,DEV_MIGRATION_F_00072,Synthetic Barn 072,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00073,DEV_MIGRATION_F_00073,Synthetic Barn 073,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00074,DEV_MIGRATION_F_00074,Synthetic Barn 074,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00075,DEV_MIGRATION_F_00075,Synthetic Barn 075,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00076,DEV_MIGRATION_F_00076,Synthetic Barn 076,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00077,DEV_MIGRATION_F_00077,Synthetic Barn 077,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00078,DEV_MIGRATION_F_00078,Synthetic Barn 078,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00079,DEV_MIGRATION_F_00079,Synthetic Barn 079,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00080,DEV_MIGRATION_F_00080,Synthetic Barn 080,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00081,DEV_MIGRATION_F_00081,Synthetic Barn 081,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00082,DEV_MIGRATION_F_00082,Synthetic Barn 082,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00083,DEV_MIGRATION_F_00083,Synthetic Barn 083,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00084,DEV_MIGRATION_F_00084,Synthetic Barn 084,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00085,DEV_MIGRATION_F_00085,Synthetic Barn 085,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00086,DEV_MIGRATION_F_00086,Synthetic Barn 086,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00087,DEV_MIGRATION_F_00087,Synthetic Barn 087,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00088,DEV_MIGRATION_F_00088,Synthetic Barn 088,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00089,DEV_MIGRATION_F_00089,Synthetic Barn 089,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00090,DEV_MIGRATION_F_00090,Synthetic Barn 090,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00091,DEV_MIGRATION_F_00091,Synthetic Barn 091,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00092,DEV_MIGRATION_F_00092,Synthetic Barn 092,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00093,DEV_MIGRATION_F_00093,Synthetic Barn 093,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00094,DEV_MIGRATION_F_00094,Synthetic Barn 094,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00095,DEV_MIGRATION_F_00095,Synthetic Barn 095,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00096,DEV_MIGRATION_F_00096,Synthetic Barn 096,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00097,DEV_MIGRATION_F_00097,Synthetic Barn 097,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00098,DEV_MIGRATION_F_00098,Synthetic Barn 098,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00099,DEV_MIGRATION_F_00099,Synthetic Barn 099,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00100,DEV_MIGRATION_F_00100,Synthetic Barn 100,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00101,DEV_MIGRATION_F_00001,Synthetic Barn 101,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00102,DEV_MIGRATION_F_00002,Synthetic Barn 102,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00103,DEV_MIGRATION_F_00003,Synthetic Barn 103,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00104,DEV_MIGRATION_F_00004,Synthetic Barn 104,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00105,DEV_MIGRATION_F_00005,Synthetic Barn 105,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00106,DEV_MIGRATION_F_00006,Synthetic Barn 106,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00107,DEV_MIGRATION_F_00007,Synthetic Barn 107,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00108,DEV_MIGRATION_F_00008,Synthetic Barn 108,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00109,DEV_MIGRATION_F_00009,Synthetic Barn 109,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00110,DEV_MIGRATION_F_00010,Synthetic Barn 110,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00111,DEV_MIGRATION_F_00011,Synthetic Barn 111,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00112,DEV_MIGRATION_F_00012,Synthetic Barn 112,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00113,DEV_MIGRATION_F_00013,Synthetic Barn 113,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00114,DEV_MIGRATION_F_00014,Synthetic Barn 114,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00115,DEV_MIGRATION_F_00015,Synthetic Barn 115,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00116,DEV_MIGRATION_F_00016,Synthetic Barn 116,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00117,DEV_MIGRATION_F_00017,Synthetic Barn 117,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00118,DEV_MIGRATION_F_00018,Synthetic Barn 118,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00119,DEV_MIGRATION_F_00019,Synthetic Barn 119,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00120,DEV_MIGRATION_F_00020,Synthetic Barn 120,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00121,DEV_MIGRATION_F_00021,Synthetic Barn 121,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00122,DEV_MIGRATION_F_00022,Synthetic Barn 122,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00123,DEV_MIGRATION_F_00023,Synthetic Barn 123,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00124,DEV_MIGRATION_F_00024,Synthetic Barn 124,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00125,DEV_MIGRATION_F_00025,Synthetic Barn 125,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00126,DEV_MIGRATION_F_00026,Synthetic Barn 126,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00127,DEV_MIGRATION_F_00027,Synthetic Barn 127,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00128,DEV_MIGRATION_F_00028,Synthetic Barn 128,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00129,DEV_MIGRATION_F_00029,Synthetic Barn 129,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00130,DEV_MIGRATION_F_00030,Synthetic Barn 130,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00131,DEV_MIGRATION_F_00031,Synthetic Barn 131,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00132,DEV_MIGRATION_F_00032,Synthetic Barn 132,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00133,DEV_MIGRATION_F_00033,Synthetic Barn 133,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00134,DEV_MIGRATION_F_00034,Synthetic Barn 134,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00135,DEV_MIGRATION_F_00035,Synthetic Barn 135,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00136,DEV_MIGRATION_F_00036,Synthetic Barn 136,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00137,DEV_MIGRATION_F_00037,Synthetic Barn 137,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00138,DEV_MIGRATION_F_00038,Synthetic Barn 138,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00139,DEV_MIGRATION_F_00039,Synthetic Barn 139,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00140,DEV_MIGRATION_F_00040,Synthetic Barn 140,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00141,DEV_MIGRATION_F_00041,Synthetic Barn 141,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00142,DEV_MIGRATION_F_00042,Synthetic Barn 142,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00143,DEV_MIGRATION_F_00043,Synthetic Barn 143,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00144,DEV_MIGRATION_F_00044,Synthetic Barn 144,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00145,DEV_MIGRATION_F_00045,Synthetic Barn 145,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00146,DEV_MIGRATION_F_00046,Synthetic Barn 146,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00147,DEV_MIGRATION_F_00047,Synthetic Barn 147,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00148,DEV_MIGRATION_F_00048,Synthetic Barn 148,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00149,DEV_MIGRATION_F_00049,Synthetic Barn 149,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00150,DEV_MIGRATION_F_00050,Synthetic Barn 150,Barn,Active,Fully fictional migration fixture.
