QUOTA_ID,REGISTRATION_NUMBER,ACCOUNT_ID,QUOTA_NAME,QUOTA_TYPE,STATUS,EFFECTIVE_DATE,END_DATE,COMMENTS
DEV_MIGRATION_Q_00023,DM-Q-00023,DEV_MIGRATION_A_00012,Synthetic Quota 023,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00024,DM-Q-00024,DEV_MIGRATION_A_00012,Synthetic Quota 024,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00025,DM-Q-00025,DEV_MIGRATION_A_00013,Synthetic Quota 025,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00026,DM-Q-00026,DEV_MIGRATION_A_00013,Synthetic Quota 026,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00027,DM-Q-00027,DEV_MIGRATION_A_00014,Synthetic Quota 027,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00028,DM-Q-00028,DEV_MIGRATION_A_00014,Synthetic Quota 028,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00029,DM-Q-00029,DEV_MIGRATION_A_00015,Synthetic Quota 029,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00030,DM-Q-00030,DEV_MIGRATION_A_00015,Synthetic Quota 030,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00031,DM-Q-00031,DEV_MIGRATION_A_00016,Synthetic Quota 031,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00032,DM-Q-00032,DEV_MIGRATION_A_00016,Synthetic Quota 032,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00033,DM-Q-00033,DEV_MIGRATION_A_00017,Synthetic Quota 033,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00034,DM-Q-00034,DEV_MIGRATION_A_00017,Synthetic Quota 034,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00035,DM-Q-00035,DEV_MIGRATION_A_00018,Synthetic Quota 035,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00036,DM-Q-00036,DEV_MIGRATION_A_00018,Synthetic Quota 036,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00037,DM-Q-00037,DEV_MIGRATION_A_00019,Synthetic Quota 037,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00038,DM-Q-00038,DEV_MIGRATION_A_00019,Synthetic Quota 038,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00039,DM-Q-00039,DEV_MIGRATION_A_00020,Synthetic Quota 039,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00040,DM-Q-00040,DEV_MIGRATION_A_00020,Synthetic Quota 040,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00041,DM-Q-00041,DEV_MIGRATION_A_00021,Synthetic Quota 041,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00042,DM-Q-00042,DEV_MIGRATION_A_00021,Synthetic Quota 042,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00043,DM-Q-00043,DEV_MIGRATION_A_00022,Synthetic Quota 043,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00044,DM-Q-00044,DEV_MIGRATION_A_00022,Synthetic Quota 044,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00045,DM-Q-00045,DEV_MIGRATION_A_00023,Synthetic Quota 045,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00046,DM-Q-00046,DEV_MIGRATION_A_00023,Synthetic Quota 046,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00047,DM-Q-00047,DEV_MIGRATION_A_00024,Synthetic Quota 047,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00048,DM-Q-00048,DEV_MIGRATION_A_00024,Synthetic Quota 048,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00049,DM-Q-00049,DEV_MIGRATION_A_00025,Synthetic Quota 049,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00050,DM-Q-00050,DEV_MIGRATION_A_00025,Synthetic Quota 050,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00051,DM-Q-00051,DEV_MIGRATION_A_00026,Synthetic Quota 051,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00052,DM-Q-00052,DEV_MIGRATION_A_00026,Synthetic Quota 052,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00053,DM-Q-00053,DEV_MIGRATION_A_00027,Synthetic Quota 053,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00054,DM-Q-00054,DEV_MIGRATION_A_00027,Synthetic Quota 054,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00055,DM-Q-00055,DEV_MIGRATION_A_00028,Synthetic Quota 055,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00056,DM-Q-00056,DEV_MIGRATION_A_00028,Synthetic Quota 056,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00057,DM-Q-00057,DEV_MIGRATION_A_00029,Synthetic Quota 057,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00058,DM-Q-00058,DEV_MIGRATION_A_00029,Synthetic Quota 058,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00059,DM-Q-00059,DEV_MIGRATION_A_00030,Synthetic Quota 059,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00060,DM-Q-00060,DEV_MIGRATION_A_00030,Synthetic Quota 060,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00061,DM-Q-00061,DEV_MIGRATION_A_00031,Synthetic Quota 061,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00062,DM-Q-00062,DEV_MIGRATION_A_00031,Synthetic Quota 062,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00063,DM-Q-00063,DEV_MIGRATION_A_00032,Synthetic Quota 063,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00064,DM-Q-00064,DEV_MIGRATION_A_00032,Synthetic Quota 064,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00065,DM-Q-00065,DEV_MIGRATION_A_00033,Synthetic Quota 065,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00066,DM-Q-00066,DEV_MIGRATION_A_00033,Synthetic Quota 066,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00067,DM-Q-00067,DEV_MIGRATION_A_00034,Synthetic Quota 067,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00068,DM-Q-00068,DEV_MIGRATION_A_00034,Synthetic Quota 068,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00069,DM-Q-00069,DEV_MIGRATION_A_00035,Synthetic Quota 069,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00070,DM-Q-00070,DEV_MIGRATION_A_00035,Synthetic Quota 070,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00071,DM-Q-00071,DEV_MIGRATION_A_00036,Synthetic Quota 071,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00072,DM-Q-00072,DEV_MIGRATION_A_00036,Synthetic Quota 072,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00073,DM-Q-00073,DEV_MIGRATION_A_00037,Synthetic Quota 073,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00074,DM-Q-00074,DEV_MIGRATION_A_00037,Synthetic Quota 074,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00075,DM-Q-00075,DEV_MIGRATION_A_00038,Synthetic Quota 075,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00076,DM-Q-00076,DEV_MIGRATION_A_00038,Synthetic Quota 076,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00077,DM-Q-00077,DEV_MIGRATION_A_00039,Synthetic Quota 077,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00078,DM-Q-00078,DEV_MIGRATION_A_00039,Synthetic Quota 078,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00079,DM-Q-00079,DEV_MIGRATION_A_00040,Synthetic Quota 079,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00080,DM-Q-00080,DEV_MIGRATION_A_00040,Synthetic Quota 080,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00081,DM-Q-00081,DEV_MIGRATION_A_00041,Synthetic Quota 081,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00082,DM-Q-00082,DEV_MIGRATION_A_00041,Synthetic Quota 082,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00083,DM-Q-00083,DEV_MIGRATION_A_00042,Synthetic Quota 083,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00084,DM-Q-00084,DEV_MIGRATION_A_00042,Synthetic Quota 084,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00085,DM-Q-00085,DEV_MIGRATION_A_00043,Synthetic Quota 085,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00086,DM-Q-00086,DEV_MIGRATION_A_00043,Synthetic Quota 086,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00087,DM-Q-00087,DEV_MIGRATION_A_00044,Synthetic Quota 087,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00088,DM-Q-00088,DEV_MIGRATION_A_00044,Synthetic Quota 088,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00089,DM-Q-00089,DEV_MIGRATION_A_00045,Synthetic Quota 089,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00090,DM-Q-00090,DEV_MIGRATION_A_00045,Synthetic Quota 090,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00091,DM-Q-00091,DEV_MIGRATION_A_00046,Synthetic Quota 091,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00092,DM-Q-00092,DEV_MIGRATION_A_00046,Synthetic Quota 092,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00093,DM-Q-00093,DEV_MIGRATION_A_00047,Synthetic Quota 093,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00094,DM-Q-00094,DEV_MIGRATION_A_00047,Synthetic Quota 094,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00095,DM-Q-00095,DEV_MIGRATION_A_00048,Synthetic Quota 095,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00096,DM-Q-00096,DEV_MIGRATION_A_00048,Synthetic Quota 096,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00097,DM-Q-00097,DEV_MIGRATION_A_00049,Synthetic Quota 097,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00098,DM-Q-00098,DEV_MIGRATION_A_00049,Synthetic Quota 098,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00099,DM-Q-00099,DEV_MIGRATION_A_00050,Synthetic Quota 099,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00100,DM-Q-00100,DEV_MIGRATION_A_00050,Synthetic Quota 100,Egg Production,Active,2024-01-01,,Fictional quota fixture.
